fecha,hora,delitos_code,Latitude,Longitude
2/12/2013 0:00,8:00:00,Apropiacion Ilegal,18.486595,-66.847666
2/9/2013 0:00,16:00:00,Robo,18.454601,-66.853546
8/28/2013 0:00,17:00:00,Escalamiento,18.356553,-66.41031
12/30/2013 0:00,10:00:00,Apropiacion Ilegal,18.482077,-66.769525
1/18/2013 0:00,14:16:00,Apropiacion Ilegal,18.487459,-66.786525
1/7/2013 0:00,9:00:00,Apropiacion Ilegal,18.472317,-66.763155
2/3/2013 0:00,0:01:00,Escalamiento,18.437245,-66.760614
12/28/2013 0:00,1:00:00,Apropiacion Ilegal,18.490275,-66.794883
2/28/2013 0:00,10:00:00,Escalamiento,18.48296,-66.768078
5/9/2013 0:00,21:00:00,Apropiacion Ilegal,18.331105,-66.381871
8/27/2013 0:00,8:00:00,Vehiculo Hurtado,18.359707,-66.441853
4/1/2013 0:00,11:00:00,Apropiacion Ilegal,18.456322,-66.724771
2/16/2013 0:00,15:00:00,Apropiacion Ilegal,18.323521,-66.40607
4/10/2013 0:00,9:00:00,Apropiacion Ilegal,18.48489,-66.772513
12/16/2013 0:00,9:00:00,Escalamiento,18.472908,-66.720058
2/21/2013 0:00,2:00:00,Escalamiento,18.430403,-66.490069
7/31/2013 0:00,21:00:00,Escalamiento,18.437685,-66.57892
2/25/2013 0:00,11:30:00,Escalamiento,18.489592,-66.820722
2/20/2013 0:00,9:00:00,Escalamiento,18.307106,-66.436833
9/14/2013 0:00,19:00:00,Escalamiento,18.413698,-66.793102
11/8/2013 0:00,9:00:00,Apropiacion Ilegal,18.43051,-66.476014
12/29/2013 0:00,8:00:00,Apropiacion Ilegal,18.450843,-66.54153
4/15/2013 0:00,14:00:00,Apropiacion Ilegal,18.480498,-66.77073
8/12/2013 0:00,6:00:00,Escalamiento,18.483823,-66.840765
11/13/2013 0:00,18:00:00,Agresion Agravada,18.466559,-66.783774
8/26/2013 0:00,6:00:00,Apropiacion Ilegal,18.354856,-66.832111
11/10/2013 0:00,15:20:00,Apropiacion Ilegal,18.438104,-66.540491
9/30/2013 0:00,1:00:00,Escalamiento,18.469643,-66.849771
12/9/2013 0:00,7:00:00,Vehiculo Hurtado,18.422601,-66.478476
11/1/2013 0:00,8:00:00,Escalamiento,18.442974,-66.636907
12/16/2013 0:00,8:00:00,Apropiacion Ilegal,18.472469,-66.723207
4/12/2013 0:00,13:00:00,Apropiacion Ilegal,18.383162,-66.483163
8/5/2013 0:00,23:20:00,Robo,18.473577,-66.858232
1/16/2013 0:00,17:00:00,Escalamiento,18.419383,-66.516407
12/20/2013 0:00,8:00:00,Apropiacion Ilegal,18.481465,-66.697072
6/30/2013 0:00,22:00:00,Escalamiento,18.427723,-66.490371
4/4/2013 0:00,18:00:00,Apropiacion Ilegal,18.479136,-66.770047
11/28/2013 0:00,18:00:00,Escalamiento,18.40526,-66.775713
12/23/2013 0:00,3:00:00,Vehiculo Hurtado,18.463089,-66.814352
9/10/2013 0:00,19:00:00,Apropiacion Ilegal,18.361823,-66.845139
7/18/2013 0:00,20:00:00,Apropiacion Ilegal,18.439816,-66.458442
12/22/2013 0:00,12:00:00,Apropiacion Ilegal,18.451778,-66.765989
8/17/2013 0:00,5:00:00,Apropiacion Ilegal,18.435111,-66.54639
3/16/2013 0:00,7:00:00,Escalamiento,18.376142,-66.905502
2/7/2013 0:00,7:00:00,Escalamiento,18.325446,-66.449505
9/21/2013 0:00,18:50:00,Vehiculo Hurtado,18.48018,-66.535115
3/11/2013 0:00,23:00:00,Robo,18.4848,-66.845149
3/11/2013 0:00,12:00:00,Apropiacion Ilegal,18.438922,-66.458183
12/24/2013 0:00,11:00:00,Apropiacion Ilegal,18.439059,-66.539519
12/26/2013 0:00,12:00:00,Escalamiento,18.362899,-66.566489
2/7/2013 0:00,20:00:00,Escalamiento,18.453256,-66.696263
6/21/2013 0:00,13:00:00,Apropiacion Ilegal,18.442908,-66.68331
12/28/2013 0:00,8:00:00,Escalamiento,18.340045,-66.422255
2/27/2013 0:00,8:00:00,Escalamiento,18.434107,-66.499928
12/28/2013 0:00,1:00:00,Apropiacion Ilegal,18.487451,-66.815342
8/26/2013 0:00,7:00:00,Escalamiento,18.363717,-66.560254
4/25/2013 0:00,17:13:00,Escalamiento,18.42767,-66.491186
10/31/2013 0:00,14:00:00,Escalamiento,18.334625,-66.370636
3/20/2013 0:00,16:00:00,Apropiacion Ilegal,18.40747,-66.775153
1/29/2013 0:00,16:24:00,Escalamiento,18.369037,-66.47778
12/26/2013 0:00,1:00:00,Apropiacion Ilegal,18.398017,-66.898421
1/10/2013 0:00,10:00:00,Apropiacion Ilegal,18.431263,-66.564604
3/25/2013 0:00,20:00:00,Vehiculo Hurtado,18.440259,-66.45621
6/20/2013 0:00,9:00:00,Escalamiento,18.435959,-66.671195
2/20/2013 0:00,18:00:00,Apropiacion Ilegal,18.431711,-66.490841
12/14/2013 0:00,11:00:00,Apropiacion Ilegal,18.290284,-66.484649
12/24/2013 0:00,8:00:00,Escalamiento,18.277961,-66.403562
5/23/2013 0:00,17:00:00,Agresion Agravada,18.373529,-66.623643
1/30/2013 0:00,11:00:00,Escalamiento,18.426837,-66.489238
6/14/2013 0:00,17:00:00,Escalamiento,18.471251,-66.814209
11/20/2013 0:00,13:00:00,Escalamiento,18.446423,-66.749863
8/17/2013 0:00,19:00:00,Apropiacion Ilegal,18.436735,-66.543253
2/16/2013 0:00,13:00:00,Escalamiento,18.488321,-66.856671
4/27/2013 0:00,10:30:00,Robo,18.436645,-66.753704
5/17/2013 0:00,9:00:00,Apropiacion Ilegal,18.486361,-66.781656
2/12/2013 0:00,21:15:00,Vehiculo Hurtado,18.440108,-66.456648
3/18/2013 0:00,17:00:00,Escalamiento,18.475781,-66.785325
8/8/2013 0:00,3:00:00,Escalamiento,18.451739,-66.76456
12/23/2013 0:00,7:00:00,Escalamiento,18.274689,-66.514448
12/23/2013 0:00,20:00:00,Vehiculo Hurtado,18.480923,-66.769692
6/24/2013 0:00,19:00:00,Apropiacion Ilegal,18.38953,-66.893104
12/19/2013 0:00,7:00:00,Escalamiento,18.452283,-66.933301
